run_name,tier,status,parameter_count,target_tokens,tokens_seen,final_general_loss,final_general_perplexity,final_structured_loss,final_structured_perplexity,best_general_loss,final_train_loss_ema,median_tokens_per_second,training_hours,peak_reserved_memory_gib
m13_low_120m_seed42,Low,completed,12913920,120000000,120012800,3.753549424931407,42.67227555497759,3.237280342313978,25.464373109771184,3.63681404478848,3.913457771747578,67474.02956148524,0.4868207762186122,2.396484375
m13_medium_230m_seed42,Medium,completed,12913920,230000000,230014976,3.3647325409110636,28.925759807000222,2.515739899113345,12.375762207872265,3.1644551027566195,3.2786072903281736,67555.47457931898,0.9318968407100191,2.396484375
m13_high_460m_seed42,High,completed,12913920,460000000,460013568,3.0837205993011594,21.83950747914368,2.447813170436969,11.563032668876088,2.8397218715399504,2.887126268469712,67512.75023924012,1.876173881386164,2.396484375
