label,archive,status,parameter_count,target_tokens,tokens_seen,general_loss,general_ppl,structured_loss,structured_ppl,train_loss_ema,median_tps,training_hours,peak_vram
M30 standard,m30_standard_470m_seed42.zip,completed,29990784,469000000,469008384,2.8507477128878236,17.300712971635935,2.0980659551581238,8.150391436828492,2.662870849005581,40437.842916152294,3.207968269112789,3.15234375
M60 SwiGLU + GQA (resumed),m60_swiglu_gqa_470m_seed42_resume.zip,paused,60439040,469000000,468697088,2.3520548082888126,10.50713771176137,2.1073072496801615,8.226060707050493,2.50776753627824,19850.806528603465,6.58507220939246,2.7890625
